Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 11:26:55,745.0,44.0,165.0,23.6,3654.0
2023-06-26 09:50:44,407.0,45.0,70.0,26.0,3660.0
2023-06-26 09:55:44,411.0,45.0,87.0,26.0,3657.0
2023-06-26 10:00:44,413.0,45.0,90.0,26.1,3657.0
2023-06-26 10:05:44,415.0,45.0,53.0,26.0,3657.0
2023-06-26 10:10:44,403.0,45.0,50.0,26.0,3657.0
2023-06-26 10:15:44,415.0,45.0,90.0,26.1,3657.0
2023-06-26 10:20:44,404.0,45.0,107.0,26.1,3657.0
2023-06-26 10:25:44,410.0,45.0,121.0,26.1,3657.0
2023-06-26 10:30:44,409.0,45.0,50.0,26.1,3657.0
2023-06-26 10:35:44,405.0,45.0,107.0,26.1,3657.0
2023-06-26 10:40:44,413.0,45.0,107.0,26.1,3657.0
2023-06-26 10:45:44,411.0,45.0,138.0,26.2,3654.0
2023-06-26 10:50:44,403.0,45.0,127.0,26.2,3654.0
2023-06-26 10:55:44,403.0,45.0,144.0,26.2,3657.0
2023-06-26 11:00:44,402.0,45.0,154.0,26.2,3654.0
2023-06-26 11:05:44,410.0,45.0,87.0,26.3,3657.0
2023-06-26 11:10:44,410.0,45.0,67.0,26.3,3657.0
2023-06-26 11:15:44,413.0,45.0,87.0,26.3,3657.0
2023-06-26 11:20:44,405.0,45.0,148.0,26.3,3660.0
2023-06-26 11:25:44,421.0,44.0,168.0,26.4,3657.0
2023-06-26 11:30:44,413.0,44.0,107.0,26.4,3657.0
2023-06-26 11:35:44,407.0,44.0,90.0,26.4,3657.0
2023-06-26 11:40:44,415.0,44.0,121.0,26.4,3657.0
2023-06-26 11:45:44,408.0,44.0,97.0,26.4,3660.0
2023-06-26 11:50:44,425.0,44.0,114.0,26.4,3657.0
2023-06-26 11:55:44,407.0,44.0,161.0,26.4,3660.0
2023-06-26 12:00:44,414.0,44.0,154.0,26.4,3657.0
2023-06-26 12:05:44,420.0,44.0,104.0,26.5,3657.0
2023-06-26 12:10:44,405.0,44.0,87.0,26.5,3657.0
2023-06-26 12:15:44,412.0,44.0,77.0,26.5,3660.0
2023-06-26 12:20:44,428.0,44.0,114.0,26.5,3660.0
2023-06-26 12:25:44,401.0,43.0,191.0,26.5,3657.0
2023-06-26 12:30:44,408.0,43.0,121.0,26.5,3657.0
2023-06-26 12:35:44,404.0,43.0,111.0,26.6,3657.0
2023-06-26 12:40:44,399.0,43.0,181.0,26.6,3660.0
2023-06-26 12:45:44,409.0,43.0,185.0,26.6,3657.0
2023-06-26 12:50:44,420.0,43.0,202.0,26.6,3657.0
2023-06-26 12:55:44,419.0,43.0,218.0,26.7,3654.0
2023-06-26 13:00:44,409.0,43.0,218.0,26.7,3657.0
2023-06-26 13:05:44,385.0,43.0,181.0,26.7,3657.0
2023-06-26 13:10:44,403.0,42.0,134.0,26.7,3657.0
2023-06-26 13:15:44,414.0,42.0,195.0,26.8,3657.0
2023-06-26 13:20:44,409.0,42.0,225.0,26.8,3654.0
2023-06-26 13:25:44,396.0,42.0,134.0,26.8,3654.0
2023-06-26 13:30:44,411.0,42.0,134.0,26.8,3657.0
2023-06-26 13:35:44,418.0,42.0,245.0,26.9,3657.0
2023-06-26 13:40:44,405.0,42.0,127.0,26.8,3654.0
2023-06-26 13:45:44,408.0,42.0,144.0,26.9,3654.0
2023-06-26 13:50:44,415.0,41.0,165.0,26.9,3654.0
2023-06-26 13:55:44,399.0,41.0,151.0,26.9,3657.0
2023-06-26 14:00:44,410.0,41.0,97.0,26.9,3654.0
2023-06-26 14:05:44,403.0,41.0,185.0,26.9,3657.0
2023-06-26 14:10:44,406.0,41.0,195.0,26.9,3660.0
2023-06-26 14:15:44,406.0,41.0,208.0,27.0,3660.0
2023-06-26 14:20:44,410.0,41.0,205.0,27.0,3654.0
2023-06-26 14:25:44,401.0,41.0,215.0,27.0,3654.0
2023-06-26 14:30:44,402.0,41.0,225.0,27.1,3657.0
2023-06-26 14:35:44,399.0,40.0,225.0,27.1,3657.0
2023-06-26 14:40:44,399.0,40.0,121.0,27.1,3657.0
2023-06-26 14:45:44,424.0,40.0,127.0,27.1,3657.0
2023-06-26 14:50:44,412.0,40.0,212.0,27.1,3660.0
2023-06-26 14:55:44,403.0,40.0,121.0,27.2,3654.0
2023-06-26 15:00:44,407.0,40.0,127.0,27.1,3654.0
2023-06-26 15:05:44,407.0,40.0,154.0,27.2,3657.0
2023-06-26 15:10:44,398.0,40.0,121.0,27.2,3654.0
2023-06-26 15:15:44,405.0,40.0,198.0,27.2,3654.0
2023-06-26 15:20:44,409.0,40.0,202.0,27.2,3657.0
2023-06-26 15:25:44,413.0,39.0,198.0,27.2,3654.0
2023-06-26 15:30:44,392.0,39.0,191.0,27.2,3654.0
2023-06-26 15:35:44,409.0,39.0,208.0,27.2,3654.0
2023-06-26 15:40:44,410.0,39.0,202.0,27.2,3654.0
2023-06-26 15:45:44,409.0,39.0,198.0,27.3,3657.0
2023-06-26 15:50:44,405.0,39.0,202.0,27.2,3654.0
2023-06-26 15:55:44,399.0,39.0,195.0,27.3,3657.0
2023-06-26 16:00:44,404.0,39.0,195.0,27.3,3654.0
2023-06-26 16:05:43,417.0,39.0,195.0,27.3,3657.0
2023-06-26 16:10:44,387.0,38.0,198.0,27.3,3657.0
2023-06-26 16:15:44,402.0,38.0,168.0,27.3,3657.0
2023-06-26 16:20:44,394.0,38.0,181.0,27.3,3657.0
2023-06-26 16:25:43,404.0,38.0,195.0,27.3,3657.0
2023-06-26 16:30:43,417.0,38.0,188.0,27.3,3654.0
2023-06-26 16:35:43,416.0,38.0,175.0,27.3,3654.0
2023-06-26 16:40:43,407.0,38.0,181.0,27.4,3657.0
2023-06-26 16:45:43,412.0,38.0,181.0,27.3,3657.0
2023-06-26 16:50:43,411.0,38.0,178.0,27.3,3654.0
2023-06-26 16:55:43,393.0,38.0,178.0,27.4,3657.0
2023-06-26 17:00:43,407.0,38.0,175.0,27.3,3654.0
2023-06-26 17:15:43,400.0,37.0,158.0,27.3,3657.0
2023-06-26 17:20:43,398.0,37.0,158.0,27.3,3657.0
2023-06-26 17:25:43,407.0,37.0,168.0,27.3,3654.0
2023-06-26 17:30:43,406.0,37.0,151.0,27.3,3657.0
2023-06-26 17:35:43,401.0,37.0,117.0,27.3,3654.0
2023-06-26 17:40:43,405.0,37.0,161.0,27.3,3654.0
2023-06-26 17:45:43,407.0,37.0,165.0,27.3,3657.0
2023-06-26 17:50:43,410.0,37.0,148.0,27.3,3654.0
2023-06-26 17:55:43,409.0,37.0,178.0,27.3,3654.0
2023-06-26 18:00:43,401.0,37.0,144.0,27.3,3657.0
2023-06-26 18:05:43,402.0,37.0,101.0,27.3,3657.0
2023-06-26 18:10:43,403.0,37.0,117.0,27.2,3654.0
2023-06-26 18:15:43,394.0,37.0,111.0,27.3,3654.0
2023-06-26 18:20:43,407.0,37.0,127.0,27.2,3654.0
2023-06-26 18:25:43,395.0,37.0,134.0,27.2,3657.0
2023-06-26 18:30:43,404.0,37.0,117.0,27.2,3657.0
2023-06-26 18:35:43,396.0,37.0,107.0,27.2,3654.0
2023-06-26 18:40:43,394.0,37.0,111.0,27.2,3657.0
2023-06-26 18:45:43,383.0,37.0,114.0,27.2,3657.0
2023-06-26 18:50:43,406.0,37.0,101.0,27.1,3660.0
2023-06-26 18:55:43,391.0,36.0,90.0,27.1,3657.0
2023-06-26 19:00:43,405.0,36.0,80.0,27.2,3654.0
2023-06-26 19:05:43,405.0,36.0,70.0,27.1,3657.0
2023-06-26 19:10:43,412.0,36.0,67.0,27.1,3657.0
2023-06-26 19:15:43,406.0,36.0,80.0,27.0,3654.0
2023-06-26 19:20:43,402.0,36.0,87.0,27.0,3654.0
2023-06-26 19:25:43,397.0,36.0,84.0,27.0,3657.0
2023-06-26 19:30:43,400.0,36.0,70.0,27.0,3657.0
2023-06-26 19:35:43,401.0,36.0,57.0,27.0,3657.0
2023-06-26 19:40:43,399.0,36.0,53.0,27.0,3657.0
2023-06-26 19:45:43,390.0,36.0,47.0,26.9,3657.0
2023-06-26 19:50:43,411.0,36.0,43.0,26.9,3657.0
2023-06-26 19:55:43,407.0,36.0,43.0,26.9,3657.0
2023-06-26 20:00:43,412.0,36.0,40.0,26.9,3657.0
2023-06-26 20:05:43,402.0,36.0,37.0,26.8,3657.0
2023-06-26 20:10:43,403.0,36.0,33.0,26.8,3654.0
2023-06-26 20:15:43,417.0,36.0,30.0,26.8,3660.0
2023-06-26 20:20:43,411.0,36.0,26.0,26.7,3657.0
2023-06-26 20:25:43,403.0,36.0,26.0,26.7,3657.0
2023-06-26 20:30:43,409.0,36.0,23.0,26.7,3657.0
2023-06-26 20:35:43,396.0,36.0,23.0,26.7,3657.0
2023-06-26 20:40:43,405.0,36.0,20.0,26.7,3657.0
2023-06-26 20:45:43,398.0,36.0,20.0,26.7,3657.0
