Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 11:20:18,425.0,,,,
2023-06-26 09:53:29,395.0,48.0,276.0,25.0,3657.0
2023-06-26 09:58:29,401.0,48.0,424.0,25.0,3657.0
2023-06-26 10:03:29,400.0,48.0,387.0,25.0,3657.0
2023-06-26 10:08:29,410.0,48.0,168.0,25.0,3657.0
2023-06-26 10:13:29,399.0,48.0,175.0,25.0,3657.0
2023-06-26 10:18:29,396.0,48.0,434.0,25.0,3657.0
2023-06-26 10:23:29,402.0,47.0,498.0,25.1,3657.0
2023-06-26 10:28:28,407.0,47.0,282.0,25.1,3657.0
2023-06-26 10:33:28,403.0,47.0,158.0,25.1,3657.0
2023-06-26 10:38:28,399.0,47.0,495.0,25.1,3657.0
2023-06-26 10:43:28,403.0,47.0,528.0,25.1,3657.0
2023-06-26 10:48:28,401.0,47.0,272.0,25.1,3657.0
2023-06-26 10:53:28,400.0,47.0,380.0,25.1,3657.0
2023-06-26 10:58:28,404.0,47.0,596.0,25.2,3657.0
2023-06-26 11:03:28,396.0,47.0,522.0,25.2,3657.0
2023-06-26 11:08:28,403.0,47.0,613.0,25.2,3659.0
2023-06-26 11:13:28,403.0,47.0,242.0,25.2,3657.0
2023-06-26 11:18:28,384.0,47.0,619.0,25.2,3657.0
2023-06-26 11:23:28,398.0,47.0,663.0,25.2,3657.0
2023-06-26 11:28:28,394.0,47.0,741.0,25.3,3657.0
2023-06-26 11:33:28,413.0,47.0,336.0,25.3,3657.0
2023-06-26 11:38:28,399.0,47.0,289.0,25.3,3657.0
2023-06-26 11:43:28,401.0,47.0,323.0,25.3,3657.0
2023-06-26 11:48:28,407.0,47.0,559.0,25.3,3657.0
2023-06-26 11:53:28,397.0,46.0,319.0,25.3,3657.0
2023-06-26 11:58:28,393.0,46.0,633.0,25.4,3657.0
2023-06-26 12:03:28,395.0,46.0,357.0,25.4,3657.0
2023-06-26 12:08:28,396.0,46.0,299.0,25.4,3657.0
2023-06-26 12:13:28,397.0,46.0,229.0,25.4,3654.0
2023-06-26 12:18:28,406.0,46.0,319.0,25.4,3657.0
2023-06-26 12:23:28,394.0,46.0,680.0,25.5,3657.0
2023-06-26 12:28:28,396.0,46.0,461.0,25.5,3657.0
2023-06-26 12:33:28,404.0,46.0,370.0,25.5,3657.0
