Date,Temperature,Humidite,Luminosite,Batterie,RSSI
2018-06-11 12:14:17,359.0,549.0,268.0,239.0,54.0
2018-06-11 12:14:22,359.0,557.0,311.0,239.0,54.0
2018-06-11 12:24:38,359.0,557.0,311.0,239.0,53.0
2018-06-11 12:24:44,358.0,548.0,384.0,239.0,54.0
2018-06-11 12:34:59,358.0,548.0,384.0,239.0,54.0
2018-06-11 12:35:05,359.0,551.0,462.0,239.0,54.0
2018-06-11 12:45:20,359.0,551.0,462.0,239.0,54.0
