Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 11:26:35,444.0,41.0,198.0,24.7,3651.0
2023-06-26 09:50:22,418.0,43.0,232.0,25.6,3657.0
2023-06-26 09:55:22,420.0,43.0,276.0,25.6,3657.0
2023-06-26 10:00:22,416.0,44.0,319.0,25.5,3657.0
2023-06-26 10:05:22,423.0,44.0,191.0,25.6,3657.0
2023-06-26 10:10:22,414.0,44.0,165.0,25.5,3657.0
2023-06-26 10:15:21,415.0,44.0,293.0,25.2,3657.0
2023-06-26 10:20:21,418.0,44.0,330.0,25.3,3657.0
2023-06-26 10:25:21,390.0,44.0,346.0,25.3,3657.0
2023-06-26 10:30:21,408.0,44.0,171.0,25.3,3657.0
2023-06-26 10:35:22,411.0,43.0,313.0,25.2,3657.0
2023-06-26 10:40:21,398.0,43.0,313.0,25.2,3657.0
2023-06-26 10:45:21,414.0,43.0,357.0,25.2,3657.0
2023-06-26 10:50:21,415.0,42.0,343.0,25.2,3657.0
2023-06-26 10:55:21,408.0,42.0,370.0,25.2,3657.0
2023-06-26 11:00:21,417.0,41.0,380.0,25.2,3659.0
2023-06-26 11:05:21,406.0,40.0,266.0,25.2,3657.0
2023-06-26 11:10:21,411.0,41.0,218.0,25.2,3657.0
2023-06-26 11:15:21,407.0,40.0,215.0,25.1,3657.0
2023-06-26 11:20:21,413.0,39.0,363.0,25.2,3657.0
2023-06-26 11:25:21,403.0,39.0,397.0,25.1,3657.0
2023-06-26 11:30:21,415.0,39.0,421.0,25.1,3657.0
2023-06-26 11:35:21,421.0,40.0,266.0,25.2,3657.0
2023-06-26 11:40:21,410.0,40.0,282.0,25.2,3657.0
2023-06-26 11:45:21,411.0,40.0,276.0,25.2,3657.0
2023-06-26 11:50:21,413.0,40.0,373.0,25.2,3657.0
2023-06-26 11:55:21,403.0,40.0,400.0,25.2,3657.0
2023-06-26 12:00:21,410.0,40.0,373.0,25.2,3657.0
2023-06-26 12:05:21,413.0,40.0,266.0,25.3,3657.0
2023-06-26 12:10:21,410.0,40.0,279.0,25.3,3657.0
2023-06-26 12:15:21,394.0,40.0,232.0,25.3,3657.0
2023-06-26 12:20:21,402.0,40.0,394.0,25.2,3657.0
2023-06-26 12:25:21,399.0,40.0,373.0,25.2,3657.0
2023-06-26 12:30:21,413.0,40.0,259.0,25.3,3657.0
2023-06-26 12:35:21,414.0,40.0,249.0,25.4,3657.0
2023-06-26 12:40:21,423.0,40.0,370.0,25.4,3657.0
2023-06-26 12:45:21,414.0,39.0,383.0,25.5,3657.0
2023-06-26 12:50:21,416.0,39.0,394.0,25.6,3657.0
2023-06-26 12:55:21,384.0,39.0,414.0,25.6,3657.0
2023-06-26 13:00:21,418.0,39.0,434.0,25.7,3657.0
2023-06-26 13:05:21,410.0,38.0,414.0,25.8,3657.0
2023-06-26 13:10:21,419.0,38.0,313.0,25.8,3657.0
2023-06-26 13:15:21,400.0,38.0,427.0,25.9,3657.0
2023-06-26 13:20:21,419.0,38.0,441.0,26.0,3657.0
2023-06-26 13:25:21,403.0,38.0,316.0,25.9,3657.0
2023-06-26 13:30:21,408.0,38.0,319.0,26.0,3657.0
2023-06-26 13:35:21,411.0,37.0,407.0,26.1,3657.0
2023-06-26 13:40:21,407.0,37.0,306.0,26.1,3657.0
2023-06-26 13:45:21,399.0,37.0,309.0,26.1,3657.0
2023-06-26 13:50:21,407.0,37.0,326.0,26.2,3654.0
2023-06-26 13:55:21,395.0,37.0,293.0,26.2,3657.0
2023-06-26 14:00:21,418.0,37.0,225.0,26.2,3657.0
2023-06-26 14:05:21,400.0,37.0,296.0,26.3,3654.0
2023-06-26 14:10:21,402.0,37.0,377.0,26.3,3654.0
2023-06-26 14:15:21,413.0,36.0,397.0,26.3,3657.0
2023-06-26 14:20:21,419.0,36.0,390.0,26.4,3657.0
2023-06-26 14:25:21,405.0,36.0,404.0,26.4,3657.0
2023-06-26 14:30:21,407.0,36.0,394.0,26.5,3657.0
2023-06-26 14:35:21,408.0,35.0,407.0,26.5,3657.0
2023-06-26 14:40:21,419.0,35.0,340.0,26.6,3657.0
2023-06-26 14:45:21,404.0,35.0,276.0,26.6,3657.0
2023-06-26 14:50:21,423.0,35.0,387.0,26.7,3657.0
2023-06-26 14:55:21,410.0,35.0,269.0,26.7,3657.0
2023-06-26 15:00:21,417.0,35.0,410.0,26.8,3657.0
2023-06-26 15:05:21,413.0,35.0,410.0,26.8,3657.0
2023-06-26 15:10:21,414.0,35.0,266.0,26.8,3657.0
2023-06-26 15:15:21,407.0,35.0,299.0,26.9,3654.0
2023-06-26 15:20:21,407.0,35.0,373.0,26.9,3657.0
2023-06-26 15:25:21,404.0,35.0,383.0,26.9,3657.0
2023-06-26 15:30:21,399.0,35.0,289.0,26.9,3657.0
2023-06-26 15:35:21,405.0,34.0,407.0,26.9,3657.0
2023-06-26 15:40:21,399.0,34.0,400.0,27.0,3657.0
2023-06-26 15:45:21,408.0,34.0,397.0,27.0,3657.0
2023-06-26 15:50:21,414.0,34.0,380.0,27.0,3657.0
2023-06-26 15:55:21,400.0,34.0,383.0,27.1,3657.0
2023-06-26 16:00:21,415.0,33.0,380.0,27.0,3657.0
2023-06-26 16:05:21,403.0,33.0,434.0,27.1,3657.0
2023-06-26 16:10:21,405.0,33.0,444.0,27.1,3654.0
2023-06-26 16:15:21,397.0,33.0,410.0,27.1,3657.0
2023-06-26 16:20:21,402.0,33.0,431.0,27.1,3657.0
2023-06-26 16:25:21,410.0,33.0,441.0,27.1,3657.0
2023-06-26 16:30:21,412.0,33.0,427.0,27.1,3657.0
2023-06-26 16:35:21,411.0,33.0,404.0,27.1,3657.0
2023-06-26 16:40:21,401.0,33.0,410.0,27.1,3657.0
2023-06-26 16:45:21,397.0,33.0,421.0,27.1,3657.0
2023-06-26 16:50:21,410.0,33.0,407.0,27.2,3657.0
2023-06-26 16:55:21,403.0,33.0,404.0,27.2,3657.0
2023-06-26 17:00:21,399.0,33.0,397.0,27.2,3657.0
2023-06-26 17:15:21,391.0,33.0,380.0,27.2,3657.0
2023-06-26 17:20:21,400.0,32.0,346.0,27.2,3657.0
2023-06-26 17:25:21,391.0,32.0,357.0,27.1,3657.0
2023-06-26 17:30:21,402.0,32.0,346.0,27.2,3657.0
2023-06-26 17:35:21,412.0,32.0,272.0,27.1,3657.0
2023-06-26 17:40:21,414.0,32.0,316.0,27.1,3657.0
2023-06-26 17:45:21,401.0,32.0,303.0,27.1,3657.0
2023-06-26 17:50:21,406.0,32.0,313.0,27.1,3657.0
2023-06-26 17:55:21,401.0,32.0,340.0,27.1,3657.0
2023-06-26 18:00:21,400.0,32.0,313.0,27.1,3654.0
2023-06-26 18:05:21,403.0,32.0,215.0,27.1,3657.0
2023-06-26 18:10:21,410.0,32.0,245.0,27.0,3657.0
2023-06-26 18:15:21,390.0,32.0,222.0,27.1,3657.0
2023-06-26 18:20:20,407.0,32.0,255.0,27.1,3657.0
2023-06-26 18:25:20,420.0,32.0,259.0,27.1,3657.0
2023-06-26 18:30:20,409.0,32.0,235.0,27.0,3657.0
2023-06-26 18:35:21,406.0,32.0,212.0,27.0,3657.0
2023-06-26 18:40:20,392.0,32.0,218.0,27.0,3657.0
2023-06-26 18:45:20,396.0,32.0,222.0,27.0,3657.0
2023-06-26 18:50:20,401.0,32.0,198.0,27.0,3657.0
2023-06-26 18:55:20,403.0,32.0,171.0,27.0,3657.0
2023-06-26 19:00:20,410.0,32.0,161.0,26.9,3657.0
2023-06-26 19:05:20,400.0,32.0,144.0,26.9,3657.0
2023-06-26 19:10:20,387.0,32.0,138.0,26.9,3657.0
2023-06-26 19:15:20,407.0,32.0,154.0,26.9,3654.0
2023-06-26 19:20:20,405.0,32.0,168.0,26.8,3657.0
2023-06-26 19:25:20,404.0,32.0,161.0,26.8,3657.0
2023-06-26 19:30:20,409.0,32.0,141.0,26.8,3657.0
2023-06-26 19:35:20,399.0,31.0,121.0,26.8,3654.0
2023-06-26 19:40:20,417.0,31.0,107.0,26.8,3657.0
2023-06-26 19:45:20,413.0,31.0,97.0,26.7,3654.0
2023-06-26 19:50:20,416.0,31.0,90.0,26.7,3657.0
