Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-26 09:50:15,513.0,47.0,474.0,24.8,3653.0
2023-06-26 09:55:15,431.0,46.0,480.0,24.9,3653.0
2023-06-26 10:00:15,476.0,47.0,473.0,25.1,3653.0
2023-06-26 10:05:15,457.0,46.0,402.0,25.3,3653.0
2023-06-26 10:10:15,445.0,46.0,328.0,25.2,3653.0
2023-06-26 10:15:15,423.0,45.0,431.0,25.1,3653.0
2023-06-26 10:20:15,415.0,45.0,402.0,25.0,3653.0
2023-06-26 10:25:15,409.0,45.0,481.0,25.1,3653.0
2023-06-26 10:30:15,430.0,45.0,332.0,25.0,3653.0
2023-06-26 10:35:15,425.0,45.0,475.0,25.0,3653.0
2023-06-26 10:40:15,426.0,44.0,482.0,25.1,3653.0
2023-06-26 10:45:15,435.0,44.0,516.0,25.1,3653.0
2023-06-26 10:50:15,405.0,44.0,505.0,25.1,3653.0
2023-06-26 10:55:15,431.0,43.0,552.0,25.0,3653.0
2023-06-26 11:00:15,450.0,43.0,501.0,25.1,3653.0
2023-06-26 11:05:15,458.0,43.0,427.0,25.3,3653.0
2023-06-26 11:10:14,432.0,43.0,425.0,25.2,3653.0
2023-06-26 11:15:14,416.0,42.0,391.0,25.2,3653.0
2023-06-26 11:20:14,416.0,41.0,509.0,25.2,3653.0
2023-06-26 11:25:14,421.0,41.0,386.0,25.2,3653.0
2023-06-26 11:30:14,436.0,40.0,568.0,25.2,3653.0
2023-06-26 11:35:15,404.0,40.0,441.0,25.2,3653.0
2023-06-26 11:40:14,421.0,41.0,448.0,25.2,3653.0
2023-06-26 11:45:14,1074.0,42.0,440.0,25.3,3653.0
2023-06-26 11:50:14,449.0,41.0,525.0,25.3,3653.0
2023-06-26 11:55:14,419.0,40.0,539.0,25.2,3653.0
2023-06-26 12:00:14,563.0,40.0,524.0,25.2,3653.0
2023-06-26 12:05:14,448.0,41.0,409.0,25.2,3653.0
2023-06-26 12:10:14,452.0,41.0,477.0,25.2,3653.0
2023-06-26 12:15:14,447.0,41.0,420.0,25.2,3653.0
2023-06-26 12:20:14,414.0,41.0,599.0,25.2,3653.0
2023-06-26 12:25:14,423.0,41.0,609.0,25.2,3653.0
2023-06-26 12:30:14,391.0,40.0,495.0,25.2,3653.0
2023-06-26 12:35:14,409.0,40.0,460.0,25.1,3653.0
2023-06-26 12:40:14,426.0,40.0,592.0,25.1,3653.0
2023-06-26 12:45:14,434.0,40.0,634.0,25.1,3653.0
2023-06-26 12:50:14,484.0,40.0,354.0,25.2,3653.0
2023-06-26 12:55:14,446.0,39.0,343.0,25.3,3653.0
2023-06-26 13:00:14,432.0,38.0,339.0,25.3,3653.0
2023-06-26 13:05:14,486.0,38.0,353.0,25.3,3653.0
2023-06-26 13:10:14,481.0,38.0,319.0,25.3,3653.0
2023-06-26 13:15:14,457.0,39.0,612.0,25.4,3653.0
2023-06-26 13:20:14,464.0,38.0,637.0,25.5,3653.0
2023-06-26 13:25:14,421.0,38.0,489.0,25.6,3653.0
2023-06-26 13:30:14,622.0,38.0,514.0,25.6,3653.0
2023-06-26 13:35:14,457.0,38.0,650.0,25.7,3653.0
2023-06-26 13:40:14,664.0,38.0,472.0,25.7,3653.0
2023-06-26 13:45:14,440.0,37.0,466.0,25.7,3653.0
2023-06-26 13:50:14,474.0,37.0,523.0,25.8,3651.0
2023-06-26 13:55:14,440.0,36.0,473.0,25.8,3653.0
2023-06-26 14:00:14,498.0,36.0,2.0,26.5,3653.0
2023-06-26 14:05:14,414.0,35.0,451.0,26.3,3653.0
2023-06-26 14:10:14,445.0,35.0,592.0,26.1,3653.0
2023-06-26 14:15:14,421.0,36.0,562.0,26.0,3653.0
2023-06-26 14:20:14,416.0,36.0,584.0,26.0,3651.0
2023-06-26 14:25:14,431.0,36.0,607.0,26.1,3653.0
2023-06-26 14:30:14,433.0,36.0,594.0,26.2,3651.0
2023-06-26 14:35:14,428.0,36.0,603.0,26.2,3651.0
2023-06-26 14:40:14,426.0,35.0,456.0,26.3,3651.0
2023-06-26 14:45:14,478.0,35.0,456.0,26.3,3653.0
2023-06-26 14:50:14,419.0,35.0,557.0,26.4,3651.0
2023-06-26 14:55:14,425.0,35.0,492.0,26.3,3653.0
2023-06-26 15:00:14,417.0,35.0,596.0,26.5,3653.0
2023-06-26 15:05:14,421.0,35.0,603.0,26.5,3651.0
2023-06-26 15:10:14,416.0,34.0,483.0,26.4,3651.0
