Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 11:26:59,435.0,47.0,404.0,22.9,3649.0
2023-06-26 09:50:46,494.0,45.0,225.0,25.4,3655.0
2023-06-26 09:55:46,498.0,45.0,316.0,25.5,3655.0
2023-06-26 10:00:46,492.0,45.0,326.0,25.5,3655.0
2023-06-26 10:05:46,497.0,45.0,168.0,25.5,3655.0
2023-06-26 10:10:46,479.0,45.0,151.0,25.5,3655.0
2023-06-26 10:15:46,460.0,45.0,306.0,25.4,3655.0
2023-06-26 10:20:46,479.0,45.0,346.0,25.4,3655.0
2023-06-26 10:25:46,463.0,45.0,383.0,25.5,3655.0
2023-06-26 10:30:46,447.0,45.0,148.0,25.5,3655.0
2023-06-26 10:35:46,454.0,45.0,333.0,25.5,3655.0
2023-06-26 10:40:46,461.0,44.0,326.0,25.5,3655.0
2023-06-26 10:45:46,459.0,44.0,404.0,25.7,3655.0
2023-06-26 10:50:46,433.0,44.0,330.0,25.7,3655.0
2023-06-26 10:55:46,428.0,43.0,417.0,25.7,3655.0
2023-06-26 11:00:46,423.0,43.0,437.0,25.7,3655.0
2023-06-26 11:05:46,420.0,42.0,249.0,25.8,3655.0
2023-06-26 11:10:46,417.0,42.0,198.0,25.9,3655.0
2023-06-26 11:15:46,423.0,41.0,222.0,25.9,3652.0
2023-06-26 11:20:46,410.0,41.0,414.0,25.9,3655.0
2023-06-26 11:25:46,419.0,41.0,474.0,25.9,3655.0
2023-06-26 11:30:46,412.0,40.0,464.0,26.0,3655.0
2023-06-26 11:35:46,408.0,40.0,252.0,26.1,3655.0
2023-06-26 11:40:46,409.0,39.0,370.0,26.0,3655.0
2023-06-26 11:45:46,407.0,40.0,269.0,26.1,3655.0
2023-06-26 11:50:46,417.0,39.0,303.0,26.1,3655.0
2023-06-26 11:55:46,410.0,39.0,444.0,26.1,3655.0
2023-06-26 12:00:46,411.0,39.0,437.0,26.2,3655.0
2023-06-26 12:05:46,407.0,39.0,363.0,26.2,3655.0
2023-06-26 12:10:46,405.0,39.0,299.0,26.2,3655.0
2023-06-26 12:15:46,408.0,39.0,215.0,26.3,3655.0
2023-06-26 12:20:46,412.0,39.0,323.0,26.3,3652.0
2023-06-26 12:25:46,414.0,39.0,522.0,26.3,3655.0
2023-06-26 12:30:46,410.0,39.0,336.0,26.3,3655.0
2023-06-26 12:35:46,416.0,38.0,316.0,26.3,3655.0
2023-06-26 12:40:46,408.0,38.0,505.0,26.3,3655.0
2023-06-26 12:45:46,402.0,38.0,515.0,26.4,3652.0
2023-06-26 12:50:46,412.0,38.0,549.0,26.4,3652.0
2023-06-26 12:55:46,408.0,37.0,589.0,26.5,3655.0
2023-06-26 13:00:46,409.0,37.0,592.0,26.6,3655.0
2023-06-26 13:05:46,406.0,36.0,522.0,26.6,3655.0
2023-06-26 13:10:46,404.0,36.0,451.0,26.6,3655.0
2023-06-26 13:15:46,411.0,36.0,582.0,26.7,3655.0
2023-06-26 13:20:46,407.0,36.0,609.0,26.7,3652.0
2023-06-26 13:25:46,405.0,36.0,400.0,26.8,3652.0
2023-06-26 13:30:46,405.0,36.0,373.0,26.8,3652.0
2023-06-26 13:35:46,407.0,35.0,673.0,26.8,3652.0
2023-06-26 13:40:46,401.0,35.0,363.0,26.8,3652.0
2023-06-26 13:45:46,410.0,35.0,400.0,26.9,3655.0
2023-06-26 13:50:46,404.0,35.0,481.0,26.9,3655.0
2023-06-26 13:55:46,417.0,35.0,414.0,26.9,3655.0
2023-06-26 14:00:46,410.0,34.0,266.0,26.9,3655.0
2023-06-26 14:05:46,468.0,35.0,474.0,26.9,3655.0
2023-06-26 14:10:46,496.0,35.0,522.0,26.9,3655.0
2023-06-26 14:15:46,489.0,35.0,545.0,26.9,3655.0
2023-06-26 14:20:46,502.0,35.0,559.0,26.9,3652.0
2023-06-26 14:25:46,499.0,35.0,562.0,26.9,3655.0
2023-06-26 14:30:46,521.0,35.0,586.0,27.0,3655.0
2023-06-26 14:35:46,499.0,35.0,589.0,27.1,3652.0
2023-06-26 14:40:46,509.0,35.0,434.0,27.1,3655.0
2023-06-26 14:45:46,496.0,35.0,333.0,27.1,3652.0
2023-06-26 14:50:46,479.0,35.0,545.0,27.2,3655.0
2023-06-26 14:55:46,491.0,35.0,326.0,27.1,3652.0
2023-06-26 15:00:46,466.0,34.0,336.0,27.1,3655.0
2023-06-26 15:05:46,456.0,34.0,454.0,27.1,3652.0
2023-06-26 15:10:46,465.0,34.0,330.0,27.1,3655.0
2023-06-26 15:15:46,499.0,34.0,528.0,27.1,3655.0
2023-06-26 15:20:46,459.0,34.0,511.0,27.1,3652.0
2023-06-26 15:25:46,458.0,34.0,508.0,27.1,3655.0
2023-06-26 15:30:46,482.0,34.0,474.0,27.0,3652.0
2023-06-26 15:35:46,473.0,33.0,532.0,27.1,3652.0
2023-06-26 15:40:46,481.0,34.0,508.0,27.2,3652.0
2023-06-26 15:45:46,475.0,33.0,495.0,27.2,3655.0
2023-06-26 15:50:46,453.0,33.0,511.0,27.1,3652.0
2023-06-26 15:55:46,427.0,32.0,495.0,27.1,3655.0
2023-06-26 16:00:46,446.0,33.0,488.0,27.0,3655.0
2023-06-26 16:05:46,434.0,32.0,491.0,27.0,3652.0
2023-06-26 16:10:46,422.0,33.0,505.0,27.0,3652.0
2023-06-26 16:15:46,411.0,32.0,441.0,27.0,3652.0
2023-06-26 16:20:46,407.0,32.0,464.0,27.1,3655.0
2023-06-26 16:25:46,396.0,32.0,488.0,27.1,3655.0
2023-06-26 16:30:46,404.0,32.0,464.0,27.2,3655.0
2023-06-26 16:35:46,399.0,32.0,427.0,27.1,3652.0
2023-06-26 16:40:46,403.0,32.0,441.0,27.0,3652.0
2023-06-26 16:45:46,401.0,32.0,444.0,27.0,3655.0
2023-06-26 16:50:46,398.0,32.0,427.0,27.0,3655.0
2023-06-26 16:55:46,400.0,32.0,424.0,27.0,3652.0
2023-06-26 17:00:46,393.0,32.0,417.0,27.0,3655.0
2023-06-26 17:15:45,400.0,32.0,387.0,27.0,3655.0
2023-06-26 17:20:45,395.0,32.0,380.0,27.0,3655.0
2023-06-26 17:25:45,399.0,32.0,414.0,27.0,3655.0
2023-06-26 17:30:45,404.0,32.0,380.0,27.0,3652.0
2023-06-26 17:35:45,390.0,32.0,313.0,27.0,3655.0
2023-06-26 17:40:45,397.0,31.0,410.0,27.0,3655.0
2023-06-26 17:45:45,397.0,31.0,427.0,26.9,3655.0
2023-06-26 17:50:45,407.0,31.0,390.0,26.9,3655.0
2023-06-26 17:55:45,395.0,31.0,444.0,26.9,3652.0
2023-06-26 18:00:45,407.0,31.0,370.0,26.9,3655.0
2023-06-26 18:05:45,399.0,31.0,269.0,26.8,3655.0
2023-06-26 18:10:45,396.0,31.0,326.0,26.8,3652.0
2023-06-26 18:15:45,401.0,31.0,306.0,26.7,3655.0
2023-06-26 18:20:45,405.0,31.0,350.0,26.7,3655.0
2023-06-26 18:25:45,406.0,32.0,363.0,26.7,3655.0
2023-06-26 18:30:45,396.0,31.0,326.0,26.7,3655.0
2023-06-26 18:35:45,394.0,32.0,293.0,26.7,3655.0
2023-06-26 18:40:45,398.0,32.0,313.0,26.7,3655.0
2023-06-26 18:45:45,398.0,32.0,316.0,26.7,3652.0
2023-06-26 18:50:45,399.0,32.0,276.0,26.6,3652.0
2023-06-26 18:55:45,404.0,32.0,249.0,26.6,3655.0
2023-06-26 19:00:45,401.0,32.0,215.0,26.6,3652.0
2023-06-26 19:05:45,406.0,32.0,195.0,26.6,3655.0
2023-06-26 19:10:45,399.0,32.0,191.0,26.6,3655.0
2023-06-26 19:15:45,400.0,32.0,222.0,26.6,3655.0
2023-06-26 19:20:45,398.0,32.0,242.0,26.6,3655.0
2023-06-26 19:25:45,396.0,32.0,232.0,26.6,3652.0
2023-06-26 19:30:45,400.0,32.0,191.0,26.6,3655.0
2023-06-26 19:35:45,396.0,32.0,168.0,26.6,3655.0
2023-06-26 19:40:45,400.0,32.0,151.0,26.6,3655.0
2023-06-26 19:45:45,400.0,32.0,138.0,26.6,3655.0
2023-06-26 19:50:45,400.0,32.0,127.0,26.6,3655.0
2023-06-26 19:55:45,404.0,32.0,124.0,26.6,3655.0
2023-06-26 20:00:45,397.0,33.0,121.0,26.6,3655.0
2023-06-26 20:05:45,397.0,33.0,111.0,26.6,3652.0
2023-06-26 20:10:45,408.0,33.0,104.0,26.6,3655.0
2023-06-26 20:15:45,401.0,33.0,90.0,26.5,3652.0
2023-06-26 20:20:45,404.0,33.0,80.0,26.5,3655.0
2023-06-26 20:25:45,396.0,33.0,77.0,26.6,3655.0
2023-06-26 20:30:45,408.0,33.0,74.0,26.5,3655.0
2023-06-26 20:35:45,400.0,33.0,70.0,26.5,3655.0
2023-06-26 20:40:45,401.0,33.0,63.0,26.5,3655.0
2023-06-26 20:45:45,397.0,33.0,53.0,26.5,3655.0
2023-06-26 20:50:45,397.0,33.0,47.0,26.5,3652.0
2023-06-26 20:55:45,403.0,33.0,43.0,26.5,3655.0
2023-06-26 21:00:45,405.0,33.0,40.0,26.4,3652.0
2023-06-26 21:05:45,392.0,33.0,37.0,26.4,3655.0
2023-06-26 21:10:45,395.0,33.0,30.0,26.4,3655.0
2023-06-26 21:15:45,399.0,33.0,26.0,26.4,3655.0
2023-06-26 21:20:45,396.0,33.0,20.0,26.4,3655.0
2023-06-26 21:25:45,398.0,33.0,20.0,26.4,3655.0
2023-06-26 21:30:45,399.0,34.0,16.0,26.4,3655.0
2023-06-26 21:35:45,394.0,34.0,13.0,26.4,3655.0
2023-06-26 21:45:44,400.0,34.0,6.0,26.3,3652.0
2023-06-26 21:50:44,404.0,34.0,3.0,26.3,3655.0
2023-06-26 21:55:44,399.0,34.0,3.0,26.3,3655.0
2023-06-26 22:00:44,399.0,34.0,3.0,26.3,3652.0
2023-06-26 22:05:44,405.0,34.0,3.0,26.3,3652.0
2023-06-26 22:10:44,401.0,34.0,0.0,26.2,3655.0
2023-06-26 22:15:44,392.0,34.0,0.0,26.2,3655.0
