Date,RSSI,Batterie,Luminosite,Humidite,Temperature
2018-06-11 12:16:48,75.0,256.0,324.0,562.0,358.0
2018-06-11 12:26:33,75.0,256.0,410.0,562.0,357.0
2018-06-11 12:36:18,75.0,256.0,492.0,564.0,357.0
