Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 10:56:37,432.0,44.0,,,
2023-06-06 10:56:38,,,909.0,23.1,3662.0
2023-06-06 11:25:48,443.0,43.0,636.0,23.9,3659.0
2023-06-26 09:54:31,430.0,47.0,757.0,24.8,3664.0
2023-06-26 10:04:31,401.0,47.0,222.0,24.9,3667.0
2023-06-26 10:14:31,415.0,47.0,744.0,25.0,3664.0
2023-06-26 10:24:31,411.0,46.0,842.0,25.1,3664.0
2023-06-26 10:34:31,411.0,46.0,154.0,25.2,3664.0
2023-06-26 10:44:31,421.0,46.0,794.0,25.3,3664.0
2023-06-26 10:54:31,420.0,45.0,761.0,25.5,3664.0
2023-06-26 11:04:31,422.0,45.0,687.0,25.6,3664.0
2023-06-26 11:14:31,405.0,44.0,191.0,25.7,3664.0
2023-06-26 11:24:31,405.0,43.0,838.0,25.8,3664.0
2023-06-26 11:34:31,421.0,43.0,562.0,25.9,3664.0
2023-06-26 11:44:31,440.0,42.0,252.0,26.0,3664.0
2023-06-26 11:54:31,468.0,42.0,592.0,26.0,3664.0
2023-06-26 12:04:31,453.0,42.0,296.0,26.1,3664.0
2023-06-26 12:14:31,473.0,42.0,195.0,26.1,3664.0
2023-06-26 12:24:31,466.0,42.0,818.0,26.2,3664.0
2023-06-26 12:34:31,452.0,41.0,340.0,26.2,3664.0
2023-06-26 12:44:31,469.0,41.0,933.0,26.3,3664.0
2023-06-26 12:54:31,439.0,40.0,885.0,26.5,3664.0
2023-06-26 13:04:31,436.0,39.0,518.0,26.7,3664.0
2023-06-26 13:14:31,429.0,39.0,922.0,26.8,3662.0
2023-06-26 13:24:31,428.0,38.0,501.0,27.0,3664.0
2023-06-26 13:34:31,419.0,38.0,899.0,27.1,3662.0
2023-06-26 13:44:31,423.0,38.0,377.0,27.1,3664.0
2023-06-26 13:54:31,440.0,37.0,592.0,27.1,3662.0
2023-06-26 14:04:31,418.0,37.0,330.0,27.1,3664.0
2023-06-26 14:14:31,444.0,37.0,986.0,27.2,3664.0
2023-06-26 14:24:31,426.0,37.0,953.0,27.3,3664.0
2023-06-26 14:34:31,429.0,36.0,936.0,27.5,3664.0
2023-06-26 14:44:31,428.0,36.0,330.0,27.6,3664.0
2023-06-26 14:54:31,436.0,36.0,825.0,27.7,3662.0
2023-06-26 15:04:31,435.0,36.0,855.0,27.7,3664.0
2023-06-26 15:14:31,419.0,36.0,363.0,27.7,3664.0
2023-06-26 15:24:31,441.0,36.0,744.0,27.7,3662.0
2023-06-26 15:34:31,437.0,35.0,687.0,27.8,3662.0
2023-06-26 15:44:31,462.0,35.0,687.0,27.9,3664.0
2023-06-26 15:54:31,458.0,35.0,643.0,27.9,3662.0
2023-06-26 16:04:31,494.0,35.0,599.0,28.0,3659.0
2023-06-26 16:14:31,494.0,35.0,552.0,28.0,3664.0
2023-06-26 16:24:31,488.0,35.0,404.0,28.0,3662.0
2023-06-26 16:34:31,496.0,35.0,488.0,28.0,3662.0
2023-06-26 16:44:31,494.0,35.0,464.0,27.9,3662.0
2023-06-26 16:54:30,493.0,35.0,427.0,28.0,3662.0
2023-06-26 17:04:31,518.0,35.0,383.0,28.0,3662.0
