Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 11:25:58,489.0,45.0,340.0,23.3,3655.0
2023-06-26 09:54:31,412.0,43.0,458.0,26.1,3661.0
2023-06-26 09:59:31,409.0,43.0,474.0,26.2,3658.0
2023-06-26 10:04:31,413.0,43.0,370.0,26.2,3661.0
2023-06-26 10:09:31,409.0,43.0,245.0,26.2,3658.0
2023-06-26 10:14:31,401.0,43.0,424.0,26.2,3658.0
2023-06-26 10:19:31,424.0,43.0,488.0,26.3,3658.0
2023-06-26 10:24:31,414.0,43.0,528.0,26.3,3658.0
2023-06-26 10:29:31,419.0,42.0,262.0,26.3,3658.0
2023-06-26 10:34:31,415.0,42.0,259.0,26.3,3658.0
2023-06-26 10:39:31,406.0,42.0,471.0,26.3,3658.0
2023-06-26 10:44:31,410.0,42.0,542.0,26.3,3658.0
2023-06-26 10:49:31,410.0,42.0,579.0,26.4,3658.0
2023-06-26 10:54:31,409.0,41.0,565.0,26.4,3658.0
2023-06-26 10:59:31,415.0,41.0,549.0,26.4,3658.0
2023-06-26 11:04:31,403.0,41.0,532.0,26.4,3658.0
2023-06-26 11:09:31,399.0,41.0,592.0,26.5,3658.0
2023-06-26 11:14:31,401.0,40.0,323.0,26.5,3661.0
2023-06-26 11:19:31,409.0,40.0,555.0,26.5,3658.0
2023-06-26 11:24:31,420.0,40.0,663.0,26.6,3658.0
2023-06-26 11:29:31,415.0,39.0,666.0,26.5,3658.0
2023-06-26 11:34:31,409.0,39.0,444.0,26.6,3658.0
2023-06-26 11:39:31,405.0,39.0,424.0,26.6,3658.0
2023-06-26 11:44:31,423.0,39.0,427.0,26.6,3658.0
2023-06-26 11:49:31,418.0,39.0,582.0,26.6,3658.0
2023-06-26 11:54:31,406.0,38.0,579.0,26.7,3658.0
2023-06-26 11:59:31,406.0,39.0,586.0,26.7,3658.0
2023-06-26 12:04:31,405.0,38.0,407.0,26.7,3658.0
2023-06-26 12:09:31,410.0,38.0,387.0,26.7,3658.0
2023-06-26 12:14:31,411.0,38.0,373.0,26.7,3658.0
2023-06-26 12:19:31,404.0,38.0,421.0,26.7,3658.0
2023-06-26 12:24:31,400.0,38.0,677.0,26.7,3658.0
2023-06-26 12:29:31,414.0,38.0,592.0,26.7,3658.0
2023-06-26 12:34:31,412.0,38.0,427.0,26.8,3658.0
2023-06-26 12:39:31,410.0,38.0,697.0,26.8,3655.0
2023-06-26 12:44:31,410.0,37.0,710.0,26.8,3658.0
2023-06-26 12:49:31,408.0,37.0,680.0,26.8,3658.0
2023-06-26 12:54:31,409.0,37.0,778.0,26.9,3658.0
2023-06-26 12:59:31,410.0,36.0,791.0,26.9,3658.0
2023-06-26 13:04:31,406.0,36.0,565.0,26.9,3658.0
2023-06-26 13:09:31,410.0,36.0,538.0,27.0,3658.0
2023-06-26 13:14:31,419.0,36.0,794.0,27.0,3658.0
2023-06-26 13:19:31,413.0,35.0,801.0,27.1,3658.0
2023-06-26 13:24:31,409.0,35.0,569.0,27.1,3658.0
2023-06-26 13:29:31,420.0,35.0,575.0,27.1,3658.0
2023-06-26 13:34:31,410.0,35.0,700.0,27.1,3658.0
2023-06-26 13:39:31,415.0,35.0,606.0,27.1,3658.0
2023-06-26 13:44:31,400.0,35.0,602.0,27.2,3658.0
2023-06-26 13:49:31,409.0,34.0,666.0,27.2,3658.0
2023-06-26 13:54:31,403.0,34.0,579.0,27.2,3658.0
2023-06-26 13:59:31,410.0,34.0,508.0,27.2,3658.0
2023-06-26 14:04:31,408.0,34.0,468.0,27.2,3658.0
