Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 11:28:42,978.0,52.0,296.0,23.2,3651.0
2023-06-26 09:52:22,420.0,52.0,266.0,23.4,3657.0
2023-06-26 09:57:22,418.0,52.0,468.0,23.4,3659.0
2023-06-26 10:02:22,426.0,51.0,461.0,23.5,3657.0
2023-06-26 10:07:22,417.0,51.0,117.0,23.5,3657.0
2023-06-26 10:12:22,418.0,51.0,107.0,23.5,3657.0
2023-06-26 10:17:22,425.0,51.0,437.0,23.5,3657.0
2023-06-26 10:22:22,420.0,51.0,471.0,23.6,3659.0
2023-06-26 10:27:22,418.0,51.0,485.0,23.6,3657.0
2023-06-26 10:32:22,419.0,51.0,121.0,23.6,3657.0
2023-06-26 10:37:22,416.0,50.0,451.0,23.6,3657.0
2023-06-26 10:42:22,415.0,50.0,447.0,23.7,3657.0
2023-06-26 10:47:22,411.0,50.0,249.0,23.7,3657.0
2023-06-26 10:52:22,418.0,50.0,474.0,23.7,3657.0
2023-06-26 10:57:22,426.0,49.0,488.0,23.8,3657.0
2023-06-26 11:02:22,415.0,49.0,528.0,23.8,3657.0
2023-06-26 11:07:22,422.0,48.0,232.0,23.8,3659.0
2023-06-26 11:12:22,418.0,48.0,154.0,23.9,3657.0
2023-06-26 11:17:22,414.0,48.0,478.0,23.9,3657.0
2023-06-26 11:22:22,419.0,47.0,481.0,23.9,3657.0
2023-06-26 11:27:22,413.0,47.0,495.0,23.9,3657.0
2023-06-26 11:32:22,425.0,46.0,239.0,23.9,3657.0
2023-06-26 11:37:22,420.0,46.0,208.0,24.0,3657.0
2023-06-26 11:42:22,409.0,46.0,232.0,24.0,3657.0
2023-06-26 11:47:22,416.0,46.0,417.0,24.0,3657.0
2023-06-26 11:52:22,416.0,46.0,232.0,24.0,3657.0
2023-06-26 11:57:22,417.0,46.0,485.0,24.0,3657.0
2023-06-26 12:02:22,418.0,45.0,245.0,24.1,3657.0
2023-06-26 12:07:22,405.0,45.0,229.0,24.1,3657.0
2023-06-26 12:12:22,417.0,45.0,178.0,24.0,3657.0
2023-06-26 12:17:22,418.0,45.0,225.0,24.0,3657.0
2023-06-26 12:22:22,412.0,45.0,498.0,24.1,3657.0
2023-06-26 12:27:22,419.0,45.0,451.0,24.1,3657.0
2023-06-26 12:32:22,418.0,45.0,437.0,24.1,3657.0
2023-06-26 12:37:22,411.0,45.0,569.0,24.1,3657.0
2023-06-26 12:42:22,418.0,45.0,562.0,24.1,3657.0
2023-06-26 12:47:22,419.0,44.0,555.0,24.2,3657.0
2023-06-26 12:52:22,410.0,44.0,559.0,24.2,3657.0
2023-06-26 12:57:22,415.0,43.0,670.0,24.3,3657.0
2023-06-26 13:02:22,417.0,43.0,666.0,24.3,3657.0
2023-06-26 13:07:22,420.0,43.0,282.0,24.4,3657.0
2023-06-26 13:12:22,420.0,42.0,636.0,24.4,3657.0
2023-06-26 13:17:22,409.0,42.0,414.0,24.4,3657.0
2023-06-26 13:22:22,411.0,42.0,586.0,24.5,3657.0
2023-06-26 13:27:22,409.0,42.0,417.0,24.5,3657.0
2023-06-26 13:32:22,418.0,42.0,323.0,24.5,3657.0
2023-06-26 13:37:22,411.0,41.0,323.0,24.5,3657.0
2023-06-26 13:42:22,415.0,41.0,330.0,24.5,3657.0
2023-06-26 13:47:22,424.0,41.0,474.0,24.5,3657.0
2023-06-26 13:52:22,416.0,41.0,434.0,24.5,3657.0
2023-06-26 13:57:22,415.0,41.0,289.0,24.5,3657.0
2023-06-26 14:02:22,404.0,40.0,259.0,24.5,3657.0
2023-06-26 14:07:22,406.0,40.0,582.0,24.5,3657.0
2023-06-26 14:12:22,410.0,40.0,525.0,24.5,3657.0
2023-06-26 14:17:22,412.0,40.0,525.0,24.6,3657.0
2023-06-26 14:22:22,406.0,40.0,646.0,24.6,3657.0
2023-06-26 14:27:22,410.0,40.0,629.0,24.6,3657.0
2023-06-26 14:32:22,415.0,40.0,636.0,24.7,3657.0
2023-06-26 14:37:22,410.0,40.0,629.0,24.7,3657.0
2023-06-26 14:42:22,420.0,40.0,272.0,24.7,3657.0
2023-06-26 14:47:22,404.0,40.0,471.0,24.7,3657.0
2023-06-26 14:52:22,407.0,40.0,586.0,24.8,3657.0
2023-06-26 14:57:22,409.0,40.0,316.0,24.8,3657.0
2023-06-26 15:02:22,414.0,39.0,572.0,24.9,3657.0
2023-06-26 15:07:22,414.0,39.0,367.0,24.8,3657.0
2023-06-26 15:12:22,406.0,39.0,491.0,24.8,3657.0
2023-06-26 15:17:22,412.0,39.0,468.0,24.9,3657.0
2023-06-26 15:22:22,415.0,39.0,532.0,24.9,3657.0
2023-06-26 15:27:22,402.0,39.0,444.0,24.9,3657.0
2023-06-26 15:32:22,414.0,39.0,289.0,24.9,3654.0
2023-06-26 15:37:22,407.0,39.0,528.0,25.0,3657.0
2023-06-26 15:42:21,412.0,38.0,515.0,25.0,3657.0
2023-06-26 15:47:22,418.0,38.0,498.0,25.0,3657.0
2023-06-26 15:52:22,416.0,38.0,495.0,25.0,3657.0
2023-06-26 15:57:21,411.0,38.0,474.0,25.0,3657.0
2023-06-26 16:02:21,412.0,38.0,474.0,25.0,3654.0
2023-06-26 16:07:21,414.0,37.0,454.0,25.0,3654.0
2023-06-26 16:12:21,414.0,37.0,424.0,25.0,3657.0
2023-06-26 16:17:21,408.0,37.0,437.0,25.0,3654.0
