Date,CO2,Humidite,Luminosite,Temperature,Batterie
2023-06-06 11:25:52,1081.0,47.0,650.0,24.8,3659.0
2023-06-26 09:54:41,419.0,47.0,370.0,25.1,3667.0
2023-06-26 10:04:41,402.0,46.0,175.0,25.1,3667.0
2023-06-26 10:14:41,409.0,46.0,346.0,25.1,3667.0
2023-06-26 10:24:40,419.0,46.0,350.0,25.2,3667.0
2023-06-26 10:34:40,415.0,46.0,148.0,25.2,3667.0
2023-06-26 10:44:40,426.0,45.0,427.0,25.3,3667.0
2023-06-26 10:54:40,418.0,45.0,464.0,25.3,3667.0
2023-06-26 11:04:40,412.0,44.0,424.0,25.4,3667.0
2023-06-26 11:14:40,421.0,43.0,198.0,25.3,3667.0
2023-06-26 11:24:40,434.0,42.0,485.0,25.3,3667.0
2023-06-26 11:34:40,421.0,41.0,279.0,25.2,3667.0
2023-06-26 11:44:40,420.0,41.0,259.0,25.2,3667.0
2023-06-26 11:54:40,397.0,41.0,400.0,25.3,3667.0
2023-06-26 12:04:40,419.0,41.0,255.0,25.4,3667.0
2023-06-26 12:14:40,425.0,41.0,195.0,25.4,3664.0
2023-06-26 12:24:40,407.0,41.0,505.0,25.5,3667.0
2023-06-26 12:34:40,414.0,41.0,282.0,25.5,3667.0
2023-06-26 12:44:40,412.0,41.0,538.0,25.6,3664.0
2023-06-26 12:54:40,435.0,40.0,575.0,25.6,3667.0
2023-06-26 13:04:40,411.0,40.0,363.0,25.7,3664.0
2023-06-26 13:14:40,416.0,39.0,606.0,25.8,3667.0
2023-06-26 13:24:40,414.0,39.0,380.0,25.9,3667.0
2023-06-26 13:34:40,416.0,39.0,670.0,25.9,3667.0
2023-06-26 13:44:40,408.0,38.0,377.0,25.9,3664.0
2023-06-26 13:54:40,397.0,38.0,397.0,25.9,3664.0
2023-06-26 14:04:40,405.0,38.0,286.0,25.9,3664.0
2023-06-26 14:14:40,416.0,37.0,606.0,26.0,3664.0
2023-06-26 14:24:40,400.0,37.0,596.0,26.1,3667.0
2023-06-26 14:34:40,405.0,37.0,609.0,26.2,3664.0
2023-06-26 14:44:40,411.0,36.0,296.0,26.2,3664.0
2023-06-26 14:54:40,417.0,36.0,545.0,26.2,3667.0
2023-06-26 15:04:40,429.0,36.0,549.0,26.2,3667.0
2023-06-26 15:14:40,399.0,36.0,316.0,26.2,3667.0
